game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
110,late,LOS,"['cloud', 'hextech', 'hextech', 'hextech']",93.8 K,4,3,8,28,SuperCleber,3,4,11,342,17.8 K,Seize,3,5,17,181,15.1 K,Envy,10,4,7,412,22.6 K,Celo,10,7,12,462,24.8 K,Kabbie,1,6,23,39,13.5 K,VKS,"['elder', 'elder', 'elder', 'mountain']",102.9 K,1,2,10,26,Guigo,9,5,6,463,24.4 K,Disamis,2,7,15,241,17.0 K,Leleko,6,4,14,408,21.2 K,Smiley,7,7,13,490,26.3 K,ProDelta,2,5,21,64,14.1 K
111,late,LOS,[],37.2 K,0,0,2,5,SuperCleber,1,2,2,196,7.9 K,Seize,1,1,3,128,6.8 K,Envy,2,3,2,190,8.8 K,Celo,1,3,1,230,9.0 K,Kabbie,0,1,4,20,4.7 K,VKS,"['cloud', 'ocean', 'chemtech']",39.1 K,0,0,3,10,Guigo,4,1,1,168,8.4 K,Disamis,1,2,5,131,6.9 K,Leleko,1,1,6,205,8.1 K,Smiley,4,0,1,231,10.5 K,ProDelta,0,1,7,30,5.2 K
112,late,LOS,"['infernal', 'infernal']",85.6 K,1,1,8,22,SuperCleber,4,3,12,407,19.8 K,Seize,6,3,15,189,15.2 K,Envy,5,2,10,355,17.3 K,Celo,6,4,13,450,22.1 K,Kabbie,1,4,19,37,11.2 K,VKS,"['elder', 'infernal', 'infernal', 'hextech', 'ocean']",88.3 K,0,2,6,16,Guigo,6,4,5,456,21.4 K,Disamis,2,5,9,218,14.0 K,Leleko,2,3,9,402,19.8 K,Smiley,5,4,8,467,21.6 K,ProDelta,1,6,13,51,11.5 K
113,late,VKS,[],35.5 K,0,0,2,7,Guigo,1,3,1,156,7.0 K,Disamis,3,3,2,144,7.5 K,Leleko,2,1,1,193,8.5 K,Smiley,1,5,5,189,7.6 K,ProDelta,0,5,6,25,4.8 K,LOS,"['hextech', 'chemtech', 'mountain']",39.7 K,0,0,3,17,SuperCleber,1,1,5,197,8.0 K,Seize,2,1,13,114,7.2 K,Envy,7,1,6,195,9.6 K,Celo,5,1,9,189,9.5 K,Kabbie,2,3,11,22,5.5 K
114,late,PNG,['ocean'],38.4 K,0,0,0,3,Wizer,1,4,2,190,8.3 K,CarioK,1,2,2,150,7.4 K,dyNquedo,0,1,2,238,8.7 K,TitaN,1,3,1,218,8.8 K,Kuri,0,4,2,28,5.2 K,LLL,"['hextech', 'hextech', 'infernal']",46.6 K,1,0,8,14,Robo,6,2,3,224,11.6 K,Croc,2,0,6,130,8.7 K,tinowns,4,0,5,228,10.7 K,Route,2,1,7,46,7.4 K,RedBert,0,0,7,155,8.2 K
115,late,LLL,"['chemtech', 'chemtech', 'chemtech']",72.8 K,1,2,8,19,Robo,3,1,10,343,16.4 K,Croc,3,3,12,219,13.9 K,tinowns,5,2,11,259,14.1 K,Route,8,3,7,320,18.4 K,RedBert,0,1,18,23,9.9 K,PNG,"['chemtech', 'cloud', 'mountain']",63.0 K,0,0,3,10,Wizer,1,3,1,322,14.1 K,CarioK,2,6,6,229,11.9 K,dyNquedo,2,2,2,267,12.6 K,TitaN,5,6,1,354,16.4 K,Kuri,0,2,6,46,8.1 K
116,late,LLL,[],61.2 K,0,0,2,14,Robo,3,6,6,321,13.9 K,Croc,0,8,10,162,9.8 K,tinowns,7,3,7,307,14.6 K,Route,3,4,5,337,14.3 K,RedBert,1,6,10,39,8.6 K,PNG,"['elder', 'hextech', 'hextech', 'ocean', 'cloud']",74.4 K,2,1,9,27,Wizer,8,3,13,289,16.8 K,CarioK,2,5,20,193,12.7 K,dyNquedo,5,1,20,290,15.5 K,TitaN,12,3,10,387,19.9 K,Kuri,0,2,23,44,9.5 K
117,late,LLL,"['cloud', 'cloud', 'cloud', 'cloud']",86.5 K,4,2,11,16,Robo,3,2,6,448,21.1 K,Croc,2,5,5,252,14.7 K,tinowns,4,2,11,329,17.3 K,Route,4,0,10,427,21.8 K,RedBert,3,1,12,35,11.6 K,PNG,"['cloud', 'mountain', 'infernal']",76.0 K,0,1,3,10,Wizer,3,4,3,291,14.4 K,CarioK,1,5,7,199,12.0 K,dyNquedo,2,1,3,483,21.1 K,TitaN,4,4,4,416,18.5 K,Kuri,0,2,8,67,10.0 K
118,late,RED,"['chemtech', 'chemtech']",55.2 K,0,1,6,14,fNb,4,4,6,192,12.2 K,Aegis,3,3,11,157,10.6 K,Grevthar,5,3,6,242,12.2 K,Brance,2,2,7,290,12.6 K,JoJo,0,2,11,34,7.7 K,VKS,"['chemtech', 'cloud', 'hextech']",57.0 K,1,0,8,14,Guigo,4,2,6,203,11.7 K,Disamis,3,4,10,153,10.4 K,Leleko,0,2,7,257,11.0 K,Smiley,7,2,2,321,16.7 K,ProDelta,0,4,10,36,7.1 K
119,late,RED,"['hextech', 'mountain', 'mountain']",65.0 K,1,0,6,13,fNb,2,3,6,289,14.5 K,Aegis,4,4,1,262,13.0 K,Grevthar,0,2,9,295,12.8 K,Brance,7,1,5,335,17.1 K,JoJo,0,5,8,28,7.6 K,VKS,"['mountain', 'mountain', 'ocean']",69.8 K,2,2,9,15,Guigo,2,4,4,279,15.1 K,Disamis,1,1,13,151,11.6 K,Leleko,4,3,5,318,15.4 K,Smiley,7,2,7,347,17.6 K,ProDelta,1,3,13,57,10.2 K
